"Key","English","Russian"
"Leaderboards_Infinite","Leaders (Infinite)","Лидера (Бесконечный)"
"Leaderboards_Swap","Swap Mode","Сменить режим"
"MM_ContinueClassic","Continue (Classic)","Продолжить (Классика)"
"MM_ContinueInfinite","Continue (Infinite)","Продолжить (Бесконечный)"
"MM_Leaderboards","Leaderboards","Таблицы лидеров"
"MM_PlayClassic","Play (Classic)","Играть (Классика)"
"MM_PlayInfinite","Play (Infinite)","Играть (Бесконечный)"
"MM_Settings","Settings","Настройки"
"MM_Store","Store","Магазин"
"MM_Tutorials","Tutorials","Обучение"
"Settings_DefaultName","Player","Игрок"
"Settings_DraggingDist","Extra Dragging Spread","Доп. Расстояние при Перетаскивании"
"Settings_Language","Language","Язык"
"Settings_Music","Music","Музыка"
"Settings_NamePlaceholder","Enter name...","Введите имя..."
"Settings_PlayerName","Player Name","Имя Игрока"
"Settings_SFX","Sound Effects","Эффекты"
"Status_Selected","Selected","Выбрано"
"Status_Unlocked","Unlocked","Разблокировано"
"Store_AmountPlaceHolder","Enter amount...","Введите количество..."
"Store_Bonuses","Bonuses","Бонусы"
"Store_Bundles","Bundles","Наборы"
"Store_Purchase","Purchase","Приобрести"
"Store_Visual","Visual","Визуал"
"Tutorials_Bonuses","About Bonuses","Про Бонусы"
"Tutorials_Coins","About Coins","Про Монеты"
"Tutorials_Core","About Gameplay","Про Игровой Процесс"
"Tutorials_DestroyBonus","About Destroy Bonus","Про Бонус Уничтожения"
"Tutorials_MoveBonus","About Move Bonus","Про Бонус Передвижения"
"Tutorials_RefreshBonus","About Refresh Bonus","Про Бонус Обновления"
"Tutorials_RevertBonus","About Revert Bonus","Про Бонус Отмены"
"Tutorials_RotateBonus","About Rotate Bonus","Про Бонус Поворота"
"Tutorials_TransformBonus","About Transform Bonus","Про Бонус Трансформации"
"TutorialsDesc_Bonuses","As you remove cells, the bonus scale for that color will fill up. Once it is full, you get a bonus.\nBonuses cannot be used twice in the same turn.","Убирая ячейки - будет заполняться шкала бонусов соответствующего цвета, при заполнении которой вы получите бонус.\nБонусы нельзя использовать на одном ходу дважды."
"TutorialsDesc_Coins","When you score 1000 points, you will receive a coin. Coins can be used in the shop.","Набрав 1000 очков - вы получаете монету.\nМонеты можно использовать в магазине."
"TutorialsDesc_Core","The goal of the game is to place the available shapes on the table. If you fill a full line - it will be removed, bringing extra points.","Цель игры - передвигать доступные фигуры на стол.\nЕсли заполнить полную линию - она уберется, принося дополнительные очки."
"TutorialsDesc_DestroyBonus","This bonus allows you to drag a temporary shape to destroy a filled cell.","Этот бонус позволяет перетащить временную фигуру для уничтожения заполненной ячейки."
"TutorialsDesc_GameModes","In Classic mode, you will receive new shapes each time you clear your hand.\nIn Infinite mode, your hand is always full.","В Классическом режиме вы будете получать новые фигуры после того как освободите руку.\nВ Бесконечном - рука всегда полная."
"TutorialsDesc_GameOver","The game ends when there is no more room on the field for new shapes.","Если на поле не останется свободного места под новые фигуры - игра окончится."
"TutorialsDesc_MoveBonus","This bonus allows you to move the entire field by 1 cell in the specified direction.","Этот бонус позволяет передвинуть все поле на 1 ячейку в указанное направление."
"TutorialsDesc_RefreshBonus","This bonus allows you to replace the available shapes with random new shapes.","Этот бонус позволяет заменить доступные фигуры на случайные новые."
"TutorialsDesc_RevertBonus","This bonus allows you to undo the last action you took.","Этот бонус позволяет отменить последнее сделанное действие."
"TutorialsDesc_RotateBonus","This bonus allows you to rotate the shape 90 degrees in any direction.","Этот бонус позволяет повернуть фигуру на 90 градусов в любое направление."
"TutorialsDesc_TransformBonus","This bonus allows you to replace the available shapes with one of the given shapes.","Этот бонус позволяет позволяет заменить доступные фигуры на любую из выданных."
